ISIN,Country,Category,Description,Market_Value,Allocation_Percentage,Currency,Page,Data_Points_Count
"XS2824054402","XS","international_bonds","Price to be verified","2450000","","USD","9","17"
"XS2567543397","XS","international_bonds","ISIN: XS2567543397 // Valorn.: 134736192","2450000","","USD","9","19"
"XS2105981117","XS","international_bonds","GOLDMAN SACHS GR.STRUCT.NOTE 21-20.12.28 VRN ON NAT","1600000","","USD","13","11"
"XS2838389430","XS","international_bonds","Price to be verified","1600000","","USD","13","14"
"XS2588105036","XS","international_bonds","CANADIAN IMPERIAL BANK OF COMMERCE NOTES 23-22.08.28","1500000","","USD","8","13"
"XS2665592833","XS","international_bonds","HARP ISSUER (4% MIN/5,5% MAX) NOTES 2023-18.09.2028","1500000","","USD","8","13"
"XS2481066111","XS","international_bonds","ISIN: XS2481066111 // Valorn.: 126294402","1470000","","USD","10","21"
"XS2964611052","XS","international_bonds","YTM: 0.10 // PRC: 5.00","1470000","","USD","10","20"
"XS2315191069","XS","international_bonds","Days: 9 // PRC: 5.00","1200000","","USD","13","12"
"XS2792098779","XS","international_bonds","Price to be verified","1200000","","USD","13","12"
"XS2110079584","XS","international_bonds","ISIN: XS2110079584 // Valorn.: 136429245","1100000","","USD","9","17"
"XS2252299883","XS","international_bonds","NOVUS CAPITAL STRUCTURED NOTES 20-15.05.26 ON CS","1000000","","USD","14","6"
"XS3035947103","XS","international_bonds","WELLS FARGO 0 % EURO MEDIUM TERM NOTES 2025-28.03.36","800000","","USD","10","13"
"XS2692298537","XS","international_bonds","ISIN: XS2692298537 // Valorn.: 129157183","690000","","USD","8","15"
"XS2754416860","XS","international_bonds","YTM: -1.44 // PRC: 5.00","690000","","USD","8","20"
"XS0461497009","XS","international_bonds","Bonds, Bond funds, Convertible bonds, Interest options","690000","","USD","11","12"
"XS2714429128","XS","international_bonds","EMERALD BAY NOTES 23-17.09.29 S.2023-05 REG-S VRN","690000","","USD","13","12"
"XS2953741100","XS","international_bonds","YTM: 5.65 // PRC: 5.00","500000","","USD","10","20"
"XS2381717250","XS","international_bonds","YTM: 5.28 // PRC: 5.00","500000","","USD","10","22"
"XS2519369867","XS","international_bonds","BCO SAFRA CAYMAN 5% STRUCT.NOTE 2022-21.06.27 3,4%","500000","","USD","13","10"
"XS2631782468","XS","international_bonds","LUMINIS REPACK NOTES 23-25.05.29 VRN ON 4,625%","500000","","USD","13","8"
"XS2594173093","XS","international_bonds","Price to be verified","500000","","USD","14","15"
"XS2407295554","XS","international_bonds","NOVUS CAPITAL STRUCT.NOTE 2021-12.01.28 VRN ON","500000","","USD","14","8"
"XS2782869916","XS","international_bonds","CITIGROUP GLBL 5.65 % CALL FIXED RATE NOTES 2024-","440000","","USD","9","12"
"LU2228214107","LU","luxembourg_funds","PREMIUM ALT.S.A. SICAV-SIF - COMMERCIAL FINANCE OPP.XB","350000","","USD","10","9"
"CH1269060229","CH","swiss_securities","BK JULIUS BAER CAP.PROT.(3,25% MIN.4,5% MAX)23-26.05.28","350000","","USD","10","8"
"XS2761230684","XS","international_bonds","ISIN: XS2761230684 // Valorn.: 112288215","250000","","USD","8","18"
"XS2736388732","XS","international_bonds","ISIN: XS2736388732 // Valorn.: 131799640","250000","","USD","8","12"
"XS2829752976","XS","international_bonds","GOLDMAN SACHS 0% EURO MEDIUM TERM NOTES 2024-","250000","","USD","10","13"
"XD0466760473","XD","other_international","EXIGENT ENHANCED INCOME FUND LTD SHS A SERIES 2019 1","204071","","USD","15","4"
"XS2530201644","XS","international_bonds","Bonds, Bond funds, Convertible bonds, Interest options","200000","","USD","8","9"
"XS2829712830","XS","international_bonds","ISIN: XS2829712830 // Valorn.: 134735316","200000","","USD","9","20"
"XS2912278723","XS","international_bonds","YTM: 5.64 // PRC: 5.00","200000","","USD","9","22"
"XS1700087403","XS","international_bonds","NATIXIS STRUC.NOTES 19-20.6.26 VRN ON 4,75%METLIFE 21","200000","75","USD","14","12"
"XS2746319610","XS","international_bonds","ISIN: XS2746319610 // Valorn.: 133393503","140000","","USD","11","15"
"XS2993414619","XS","international_bonds","ISIN: XS2993414619 // Valorn.: 140610687","","","USD","7","9"
"XS2848820754","XS","international_bonds","CITIGROUP GLBL 0 % MEDIUM TERM NOTES 2024-01.08.34","","","USD","9","16"
"XS2381723902","XS","international_bonds","JPMORGAN CHASE 0 % NOTES 2024-29.10.34 SERIES 2021-","","","USD","9","13"
"CH0244767585","CH","swiss_securities","Equities, Equity funds, Options on equities/indices","","","USD","12","2"