Index,ISIN,Name,Value,Currency
1,CH1908490000,"N/A",1.00,USD
2,XS2993414619,"N/A",0097.70,N/A
3,XS2530201644,"N/A",3.32,N/A
4,XS2588105036,"N/A",5.15,N/A
5,XS2665592833,"N/A",18.09,N/A
6,XS2692298537,"N/A",5.00,N/A
7,XS2754416860,"N/A",5.23,N/A
8,XS2761230684,"N/A",6.89,N/A
9,XS2736388732,"N/A",20.12,N/A
10,XS2782869916,"N/A",5.00,N/A
11,XS2824054402,"N/A",5.04,N/A
12,XS2567543397,"N/A",5.53,N/A
13,XS2110079584,"N/A",5.00,N/A
14,XS2848820754,"N/A",5.00,N/A
15,XS2829712830,"N/A",5.00,N/A
16,XS2912278723,"N/A",5.00,N/A
17,XS2381723902,"N/A",5.00,N/A
18,XS2829752976,"N/A",5.00,EUR
19,XS2953741100,"N/A",5.00,N/A
20,XS2381717250,"N/A",5.00,N/A
21,XS2481066111,"N/A",5.00,N/A
22,XS2964611052,"N/A",5.00,N/A
23,XS3035947103,"N/A",5.00,EUR
24,LU2228214107,"N/A",3.00,N/A
25,CH1269060229,"N/A",3.25,N/A
26,XS0461497009,"N/A",8.11,N/A
27,XS2746319610,"N/A",16.79,N/A
28,CH0244767585,"N/A",4126.87,N/A
29,XS2519369867,"N/A",5.00,N/A
30,XS2315191069,"N/A",08.01,N/A
31,XS2792098779,"N/A",5.00,N/A
32,XS2714429128,"N/A",5.00,N/A
33,XS2105981117,"N/A",20.12,N/A
34,XS2838389430,"N/A",5.00,N/A
35,XS2631782468,"N/A",25.05,N/A
36,XS1700087403,"N/A",5.00,N/A
37,XS2594173093,"N/A",27.09,N/A
38,XS2407295554,"N/A",12.01,N/A
39,XS2252299883,"N/A",5.00,N/A
40,XD0466760473,"N/A",5.00,N/A